**********************************
LOGGING TIME: 20161112_211038
CLIENT IP: 192.168.88.1
USERNAME: Ramola
OS: Windows 8.1
*********************Neutral database**********************************
MM, 16, 18, 13
MM, 24, 13, 12
MM, 31, 9, 12
MM, 35, 6, 12
MM, 1, 3, 10
MM, 5, 1, 27
MM, 7, 0, 12
MM, 9, 0, 12
MM, 10, 0, 12
MM, 11, 0, 12
MM, 12, 0, 12
MM, 14, 0, 25
MM, 16, 0, -4
MM, 18, 0, 28
MM, 21, 1, 98
MM, 21, 2, 12
MM, 21, 3, 12
MM, 21, 5, 12
MM, 21, 6, 12
MM, 20, 7, 25
MM, 19, 7, 12
MM, 18, 7, 12
MM, 17, 7, 12
MM, 14, 10, 122
MM, 10, 12, 13
MM, 8, 18, 12
MM, 5, 27, 12
MM, 45, 16, 36
MM, 13, 30, 13
MM, 9, 0, 24
MM, 40, 3, 13
MM, 27, 3, 11
MM, 20, 3, 12
MM, 18, 3, 12
MM, 18, 4, 50
MM, 15, 6, 121
MM, 11, 8, 12
MM, 9, 11, 12
MM, 7, 14, 12
MM, 5, 16, 12
MM, 2, 17, 13
MM, 39, 21, 24
MM, 24, 21, 13
MM, 8, 16, 12
MM, 35, 7, 12
MM, 33, 20, 36
MM, 27, 14, 13
MM, 25, 10, 12
MM, 25, 8, 12
MM, 23, 8, 207
MM, 18, 9, 12
MM, 10, 12, 12
MM, 3, 14, 12
MM, 38, 22, 26
MM, 33, 24, 13
MM, 26, 27, 12
MM, 19, 30, 12
MM, 38, 0, 24
MM, 27, 4, 13
MM, 19, 11, 12
MM, 11, 19, 12
MM, 5, 29, 12
MC, 1, 1036
MC, 2, 658
MM, 29, 27, 1000
MM, 39, 19, 12
MM, 5, 12, 12
MM, 9, 27, 367
MM, 8, 25, 12
MM, 8, 24, 12
MM, 8, 23, 13
MM, 8, 22, 12
MM, 8, 20, 12
MM, 8, 18, 12
MM, 8, 13, 12
MM, 7, 8, 12
MM, 7, 0, 12
MM, 5, 23, 37
MM, 5, 22, 12
MM, 5, 20, 12
MM, 6, 19, 37
MM, 8, 18, 37
MM, 9, 18, 13
MM, 11, 17, 11
MM, 12, 17, 12
MM, 14, 16, 12
MM, 15, 16, 12
MM, 17, 15, 13
MM, 19, 13, 12
MM, 21, 12, 12
MM, 22, 12, 12
MM, 23, 11, 12
MM, 24, 11, 12
MM, 25, 11, 12
MM, 26, 11, 12
MM, 27, 11, 14
MM, 27, 10, 12
MM, 28, 10, 12
MM, 31, 9, 12
MC, 1, 293
MM, 31, 12, 121
MM, 31, 20, 12
MM, 30, 5, 25
MM, 25, 18, 91
MM, 21, 32, 215
MM, 17, 49, 12
MM, 25, 6, 36
MM, 30, 26, 12
MM, 36, 2, 37
MM, 37, 9, 12
MM, 37, 11, 12
MM, 38, 12, 24
MM, 39, 12, 62
MM, 40, 12, 48
MM, 41, 12, 37
MM, 42, 12, 12
MM, 3, 8, 36
MM, 9, 3, 12
MC, 1, 659
MM, 13, 3, 145
MM, 6, 6, 13
MM, 33, 13, 24
MM, 25, 13, 13
MM, 20, 13, 12
MM, 16, 13, 13
MM, 14, 13, 12
MM, 13, 13, 12
MM, 12, 13, 24
MM, 11, 14, 12
MM, 10, 14, 12
MM, 9, 14, 49
MM, 7, 14, 24
MM, 4, 14, 13
MM, 2, 14, 13
MM, 42, 14, 48
MM, 40, 14, -3
MM, 38, 14, 27
MM, 36, 14, 13
MM, 35, 14, 12
MM, 34, 14, 12
MM, 33, 14, 24
MC, 1, 341
MM, 39, 14, 195
MM, 2, 14, 12
MM, 23, 14, 12
MM, 19, 16, 13
MM, 15, 24, 12
MM, 25, 5, 24
MM, 5, 18, 13
MM, 47, 1, 13
MM, 79, 15, 11
MM, 79, 12, 256
MM, 76, 4, 13
MM, 9, 19, 12
MM, 0, 9, 12
MM, 39, 30, 121
MM, 37, 29, 12
MM, 35, 28, 13
MM, 33, 28, 12
MM, 31, 28, 12
MM, 30, 27, 13
MM, 29, 27, 12
MM, 28, 27, 49
MM, 28, 28, 49
MM, 28, 29, 12
MM, 28, 30, 12
MM, 20, 0, 74
MM, 20, 1, 12
MM, 20, 2, 12
MM, 21, 2, 12
MM, 21, 3, 24
MM, 21, 4, 37
MM, 21, 5, 12
MC, 1, 329
MM, 24, 2, 134
MM, 5, 27, 25
MM, 17, 22, 12
MM, 28, 13, 12
MM, 37, 4, 12
MM, 8, 24, 24
MM, 12, 19, 12
MM, 14, 15, 12
MM, 15, 15, 13
MM, 15, 14, 12
MM, 16, 13, 12
MM, 16, 12, 36
MM, 16, 11, 38
MM, 16, 10, 84
MC, 1, 355
MM, 16, 11, 98
MM, 16, 13, 12
MM, 16, 14, 12
MM, 16, 16, 12
MM, 17, 20, 12
MM, 17, 22, 12
MM, 19, 27, 12
MM, 20, 30, 12
MM, 14, 0, 37
MM, 15, 1, 12
MM, 15, 2, 12
MM, 15, 3, 13
MM, 15, 4, 24
MM, 15, 5, 13
MM, 16, 6, -3
MM, 16, 7, 27
MM, 16, 8, 12
MM, 16, 9, 48
MM, 17, 9, 49
MM, 19, 12, 48
MC, 1, 367
MM, 14, 12, 85
MM, 3, 12, 12
MM, 34, 12, 12
MM, 30, 17, 37
MM, 31, 20, 12
MM, 37, 20, 12
MM, 2, 20, 19
MM, 33, 20, 6
MM, 23, 20, 12
MM, 19, 20, 12
MM, 16, 20, 12
MM, 15, 20, -2
MM, 14, 20, 39
MM, 13, 20, 36
MM, 12, 20, 12
MM, 11, 22, 12
MM, 9, 24, 13
MM, 5, 25, 12
MM, 0, 28, 12
MM, 42, 28, 12
MM, 33, 28, 13
MM, 28, 26, 12
MM, 22, 24, 12
MM, 20, 21, 12
MM, 18, 20, 13
MM, 17, 20, 24
MM, 17, 19, 25
MM, 17, 18, 61
MM, 17, 17, 36
MM, 18, 17, 62
MC, 1, 341
MM, 20, 17, 232
MM, 22, 17, 12
MM, 25, 17, 11
MM, 33, 17, 13
MM, 7, 17, 12
MM, 11, 17, 12
MM, 6, 6, 25
MM, 21, 6, 12
MM, 17, 4, 13
MM, 11, 4, 12
MM, 41, 4, 11
MM, 38, 27, 499
MM, 38, 26, 87
MM, 38, 25, 12
MM, 38, 24, 12
MM, 39, 22, 12
MM, 39, 21, 12
MM, 40, 20, 13
MM, 40, 19, 25
MM, 40, 18, 24
MC, 1, 401
MM, 31, 14, 208
MM, 10, 1, 12
MM, 354, 58, 25
MM, 327, 38, 12
MM, 297, 20, 12
MM, 256, 2, 12
MC, 1, 987
MM, 236, 3, 15621
MM, 253, 40, 12
MM, 38, 7, 50
MM, 3, 30, 24
MM, 8, 1, 13
MM, 11, 4, 13
MM, 15, 6, 11
MM, 16, 7, 13
MM, 18, 8, 12
MM, 19, 8, 24
MM, 19, 9, 36
MM, 20, 13, 25
MM, 20, 20, 13
MM, 21, 27, 12
MM, 11, 9, 24
MM, 72, 1, 13
MM, 72, 14, 12
MM, 72, 25, 11
MM, 256, 6, 4792
MM, 251, 14, 12
MM, 244, 20, 14
MM, 236, 23, 12
MM, 227, 28, 12
MM, 222, 30, 12
MM, 216, 33, 12
MM, 214, 35, 12
MM, 211, 38, 12
MM, 208, 40, 12
