********************************************************************************
LOGGING TIME: 20181030_044544
CLIENT IP: 10.112.1.12
USERNAME: user
OS: Windows 8.1
ARCHITECTURE: amd64
VERSION: 6.3
RESOLUTION: 1366.0 768.0
********************************************************************************
MM, 279, 154, 8
MM, 279, 155, 8
MM, 279, 155, 8
MM, 279, 156, 8
MM, 279, 156, 8
MM, 279, 157, 6
MM, 279, 157, 16
MM, 279, 158, 8
MM, 278, 158, 8
MM, 277, 158, 8
MM, 275, 158, 8
MM, 274, 158, 8
MM, 271, 158, 6
MM, 268, 158, 8
MM, 258, 155, 16
MM, 251, 154, 9
MM, 243, 152, 8
MM, 237, 150, 8
MM, 231, 149, 6
MM, 227, 149, 8
MM, 224, 148, 8
MM, 223, 148, 8
MM, 223, 148, 8
MM, 222, 148, 8
MM, 222, 148, 62
MM, 222, 148, 8
MM, 222, 148, 8
MM, 222, 148, 154
MM, 222, 148, 8
MP, 1, 0
MR, 1, 78
MC, 1, 0
MM, 222, 149, 231
MM, 223, 151, 8
MM, 225, 153, 8
MM, 227, 156, 6
MM, 230, 159, 8
MM, 231, 161, 8
MM, 233, 164, 8
MM, 234, 167, 8
MM, 236, 171, 8
MM, 238, 176, 8
MM, 241, 181, 6
MM, 242, 184, 8
MM, 243, 187, 8
MM, 243, 189, 8
MM, 244, 192, 8
MM, 244, 194, 8
MM, 245, 196, 8
MM, 246, 197, 8
MM, 246, 198, 6
MM, 246, 198, 8
MM, 246, 199, 8
MM, 246, 199, 16
MM, 246, 199, 116
MM, 246, 199, 16
MM, 246, 199, 8
MM, 246, 198, 8
MM, 246, 197, 6
MM, 246, 197, 8
MM, 246, 196, 8
MM, 246, 195, 8
MM, 247, 195, 8
MM, 247, 194, 8
MM, 247, 193, 8
MM, 247, 192, 6
MM, 248, 190, 8
MM, 249, 188, 8
MM, 249, 187, 8
MM, 250, 185, 8
MM, 250, 183, 8
MM, 250, 183, 8
MM, 250, 182, 14
MM, 250, 182, 93
MP, 1, 0
